Source,Exercise,Participant,hand,label,Unnamed: 0,Unnamed: 0.1,rep_count,start_value_mean,start_value_std,peak_value_mean,peak_value_std,end_value_mean,end_value_std,num_frames_up_mean,num_frames_up_std,num_frames_down_mean,num_frames_down_std,vel_mean_down_mean,vel_mean_down_std,vel_sd_down_mean,vel_sd_down_std,acc_mean_down_mean,acc_mean_down_std,acc_sd_down_mean,acc_sd_down_std,vel_mean_up_mean,vel_mean_up_std,vel_sd_up_mean,vel_sd_up_std,acc_mean_up_mean,acc_mean_up_std,acc_sd_up_mean,acc_sd_up_std,freq num,magnitude mean,magnitude sd,DF3_freq,DF2_freq,DF1_freq,DF3_mag,DF2_mag,DF1_mag,CL,cycles num
maya,raise_arms_horizontally,1901202101b.xlsx2,right,0,31,31,0.113094625,6.186505806,0.110071066,1.971573484,-0.751656766,8.174101002,-0.319901364,0.751585169,-0.105500116,0.119702143,0.112361483,-0.274686529,-0.147763055,-0.145973992,-0.123406542,-0.053723207,-0.180630935,0.039334924,0.396038396,-0.168112024,-0.317555344,-0.214212516,-0.490622961,-0.276834615,-0.102605096,0.140280332,-0.183838002,1.843304663,-0.972298314,0.187851105,-0.744429019,-0.243533673,-0.386358933,0.10099635,0.149279922,1.864395888,-0.180342352,0.081813449
maya,raise_arms_horizontally,2001202101a.xlsx,left,1,32,32,-2.47192537,7.596805417,0.827024996,1.132561171,1.395057811,10.89527759,1.960227732,-0.171345735,2.20052028,-1.480746211,1.266251883,-0.19480308,0.671821061,-0.384837805,-0.06163818,-0.128093143,-0.069959759,-0.367966596,-0.56818206,-0.253862744,-0.123910807,-0.273156973,0.020272065,-0.463640548,0.026065584,-0.419447632,-0.323004867,-1.606154355,-1.098191974,0.219679217,-0.111228826,-0.644687266,-3.034130824,1.247205955,0.535876436,-0.350419331,3.059182714,-2.972555312
maya,raise_arms_horizontally,2001202101a.xlsx,right,1,33,33,-2.47192537,6.625916462,1.466753538,0.757204674,1.191062607,7.463580894,-0.459846652,-0.640136035,-0.117349079,0.244954623,0.081735803,0.564111317,-0.042041132,-0.230095431,-0.138631264,0.210312692,-0.168186643,-0.44067057,-0.491766571,-0.218351593,-0.265415553,-0.449239334,-0.228250681,-0.350821427,-0.009630986,-0.426391883,-0.362435059,-1.606154355,-1.198392614,0.108530991,-0.111228826,-3.143635182,-0.410909933,1.134572626,0.505304096,-0.439643328,-0.17533603,-0.79086334
maya,raise_arms_horizontally,2001202101a.xlsx2,left,0,34,34,-0.533160374,7.665577654,1.092727295,1.903445976,-0.67660946,9.438314666,-0.257654695,0.988073133,0.333911334,-0.864424485,-0.104031989,-0.819582226,-0.023961586,0.02551389,-0.540705832,0.164777,-0.203855407,-0.33900998,-0.525047027,-0.366865893,-0.347237849,-0.092586936,-0.571852668,-0.311078879,-0.067577505,-0.354697522,-0.265895363,0.003593186,-1.549239531,0.568764885,4.056542983,2.437056223,-0.367342989,-1.502638612,-2.290767414,3.479471545,-0.184167056,-0.354524945
maya,raise_arms_horizontally,2001202101a.xlsx2,right,0,35,35,-0.533160374,5.858929637,0.256928383,1.65813874,-0.710903707,7.278733888,-0.513502027,0.485797811,0.333911334,-0.100980797,-0.022142471,-0.304082935,-0.175230188,0.004742508,-0.4041169,0.227422802,-0.228156871,-0.354183275,-0.574468786,-0.12192944,-0.231902456,-0.133067925,-0.438972105,-0.283053192,-0.063207513,-0.316855757,-0.356521806,0.003593186,-1.483826313,0.67064502,4.056542983,2.437056223,-0.367342989,-1.485243287,-2.388625554,3.680705669,-0.184167056,-0.354524945
maya,raise_arms_horizontally,2001202102a.xlsx,left,0,36,36,-0.533160374,6.693945991,-0.424252665,2.132642892,-0.857808658,8.879184531,-0.482466251,-0.334585214,-1.130967779,3.302705641,-0.133619992,0.901082196,-0.807402009,-0.459539164,-0.764319739,0.330380385,-0.246629472,-0.604651427,-0.489243066,0.355372841,-0.403527528,0.242799083,-0.415386284,-0.244611872,-0.176619565,0.141445716,-0.252715416,4.401653434,-1.353897736,0.061807646,-2.467605652,-0.444943625,-0.536987216,1.77663539,0.994148269,0.836034434,-0.14834543,0.518151843
maya,raise_arms_horizontally,2001202102a.xlsx,right,0,37,37,-0.533160374,6.022500745,-0.623743392,1.944515395,-0.868497927,7.937063313,-0.512438936,-0.334585214,-1.278028421,2.475641647,-0.874496978,0.739635593,-0.902944443,-0.382514599,-0.677264143,0.285418687,-0.255561001,-0.638880144,-0.681223635,0.319668629,-0.486525921,0.195972966,-0.351817835,-0.289835085,-0.157450355,0.040340403,-0.330438515,4.401653434,-1.274659981,0.058338134,-2.467605652,-0.444943625,-0.536987216,1.826696587,0.941962413,0.828330592,-0.14834543,0.518151843
maya,raise_arms_horizontally,2112202001a.xlsx,left,0,38,38,-0.533160374,7.354708595,-0.515847659,1.756224021,-0.623413984,9.355568282,-0.316153436,-0.317842703,-0.718124311,0.964659349,-0.593377733,0.433139435,-0.801373485,-0.220243519,-0.710045463,0.116037316,-0.225345948,-0.584102066,-0.694080862,0.13820728,-0.276717238,-0.184282631,-0.294997042,-0.244618726,-0.149982511,-0.072806597,-0.164034143,0.521012039,-1.007166586,0.250139604,0.079015393,-0.305504223,-0.492848742,-1.121235981,-1.555963206,2.570478771,-0.15804712,-0.354524945
maya,raise_arms_horizontally,2112202001a.xlsx,right,0,39,39,-0.533160374,6.133181043,-0.476055984,1.589917007,-0.814877123,8.351312879,-0.478341493,0.418827768,-0.200622781,0.36026643,-0.345744022,0.143679305,-0.544238264,-0.366097774,-0.581378185,0.186620795,-0.214971082,-0.607858344,-0.655336289,-0.177514674,-0.341312275,-0.33520199,-0.350172008,-0.256293871,-0.153752954,-0.213496482,-0.224838647,0.521012039,-1.150418745,0.17021333,0.079015393,-0.305504223,-0.492848742,-1.288206789,-1.639326266,2.491449055,-0.15804712,-0.354524945
maya,raise_arms_horizontally,2112202001b.xlsx,left,0,40,40,1.405604622,6.894470217,1.941603513,1.263473182,0.915058995,10.31530562,0.840688023,-0.153766098,2.350582415,0.361856938,0.208926553,0.55896474,-0.110174249,-0.29020155,0.174123978,-0.073693831,0.248569462,-0.135391459,1.600603462,0.89721358,3.770974528,0.46405613,2.612758002,3.065629559,5.406542751,0.901545658,2.934142835,8.368531305,-1.636368605,-0.908073572,-2.513145774,-0.800849773,-0.303571458,1.1573492,0.12057423,0.243167398,-0.196667312,1.827167026
