Source,Exercise,Participant,hand,label,rep_count,start_value_mean,start_value_std,peak_value_mean,peak_value_std,end_value_mean,end_value_std,num_frames_up_mean,num_frames_up_std,num_frames_down_mean,num_frames_down_std,vel_mean_down_mean,vel_mean_down_std,vel_sd_down_mean,vel_sd_down_std,acc_mean_down_mean,acc_mean_down_std,acc_sd_down_mean,acc_sd_down_std,vel_mean_up_mean,vel_mean_up_std,vel_sd_up_mean,vel_sd_up_std,acc_mean_up_mean,acc_mean_up_std,acc_sd_up_mean,acc_sd_up_std,freq num,magnitude mean,magnitude sd,DF3_freq,DF2_freq,DF1_freq,DF3_mag,DF2_mag,DF1_mag,CL,cycles num
naama,raise_arms_horizontally,3_1_1.xlsx,right,0,5,0.161946885,0.028247165,1.206034962,0.042820308,0.198487229,0.077518005,39.2,10.32956921,70,14.57737974,-0.444527532,0.086880847,0.512597924,0.125615276,-0.205834609,0.24942312,6.03600278,2.44020596,0.839168168,0.208942739,0.641644817,0.091467117,0.197726233,0.113854544,7.813618571,3.769513499,463,0.006469897,0.027312087,0.16146394,0.096878364,0.193756728,0.151914605,0.182236951,0.450064167,154.8333333,6
naama,raise_arms_horizontally,3_1_2.xlsx,left,0,7,0.151707947,0.021913447,1.061813589,0.065600625,0.161405768,0.04022029,31.42857143,4.314979446,72.71428571,7.889112449,-0.372496207,0.041448343,0.505311811,0.052890716,-0.121170705,0.09493435,5.187815573,1.164039977,0.872824547,0.128497951,0.431180825,0.082932725,0.591435303,0.275186714,6.184898088,1.297185217,751,0.00335066,0.019125444,0.199335548,0.019933555,0.179401993,0.161950296,0.188544654,0.380500687,167.2222222,9
naama,raise_arms_horizontally,3_1_2.xlsx,right,0,7,0.211319098,0.058039574,1.095553089,0.18401605,0.211954102,0.0252842,28.28571429,9.30437685,70.85714286,13.03109833,-0.389546261,0.114847853,0.60916551,0.081254964,-0.130894821,0.096104617,6.737919573,1.759881688,0.97786698,0.166686127,0.776920239,0.09359449,0.777006819,1.455867358,12.53893367,2.682266872,751,0.003859641,0.020379127,0.199335548,0.019933555,0.179401993,0.177124018,0.200207708,0.402903909,167.2222222,9
naama,raise_arms_horizontally,4_1_1.xlsx,left,0,6,0.188985924,0.015245979,0.908113309,0.175358709,0.226241726,0.070249039,24.5,11.00454452,47.5,22.15174937,-0.680489167,0.670587446,0.571134021,0.054806554,-0.427606459,0.920676291,11.23979148,7.814923588,1.270571538,1.292064286,0.827515969,0.950815814,2.727420615,5.13032839,21.52158622,32.79881598,508,0.00466494,0.018806976,0.235756385,0.029469548,0.206286837,0.149962644,0.159382352,0.280705943,145.4285714,7
naama,raise_arms_horizontally,4_1_1.xlsx,right,0,5,0.196166767,0.01424976,0.993109072,0.066868958,0.313016303,0.074028376,33.2,3.346640106,48.2,3.962322551,-0.418957091,0.093670039,0.973666213,0.511518752,-0.600898392,0.644717361,17.65533601,17.17586085,0.721463589,0.100741329,0.617444221,0.08210148,0.440988945,0.202461512,10.33039817,1.855755979,508,0.004382756,0.0185568,0.029469548,0.235756385,0.206286837,0.139003468,0.145666565,0.290458792,145.4285714,7
naama,raise_arms_horizontally,4_1_2.xlsx,left,1,6,0.177155355,0.012789227,0.965911352,0.115376451,0.157574843,0.022289056,29.16666667,9.745084231,35.5,25.48528987,-1.774669058,2.019577984,1.487532889,0.843595168,-10.99489936,16.72463306,33.66785693,30.8203036,0.951143575,0.602077735,0.478641984,0.234650072,0.895260217,0.834667723,10.54546249,8.626584161,458,0.005915417,0.021099102,0.261153428,0.032644178,0.228509249,0.18768017,0.191911907,0.260988566,131.2857143,7
naama,raise_arms_horizontally,4_1_2.xlsx,right,1,7,0.169178247,0.08202748,0.752862284,0.112182804,0.196766912,0.118399789,15.14285714,9.007933012,32,21.10292239,-1.136638857,1.480255541,2.729721901,0.804433706,-6.350471695,4.846507559,71.87717623,24.47086375,1.694503053,1.672995789,0.981905296,0.84530459,15.08318035,22.21574185,15.95738787,12.01545844,458,0.006939626,0.018410146,0.261153428,0.032644178,0.228509249,0.149983948,0.169745187,0.220225116,131.2857143,7
naama,raise_arms_horizontally,5_1_2.xlsx,left,1,7,0.165603451,0.005318108,0.992951493,0.028615723,0.184789577,0.012955634,24.42857143,7.0203785,79.42857143,9.144345117,-0.309846252,0.052558125,0.479288256,0.038123825,0.00086974,0.080214779,5.507714718,0.567307273,1.09330753,0.387476351,0.828468501,0.585981876,1.747655689,3.477806685,11.84349247,9.123881553,655,0.00414678,0.01979388,0.045731707,0.205792683,0.182926829,0.1265712,0.14434615,0.401197882,164,8
naama,raise_arms_horizontally,5_1_2.xlsx,right,1,7,0.139641904,0.107761071,1.04621889,0.083918225,0.231192102,0.058724802,20,7.118052168,71.28571429,13.70783578,-0.354882054,0.098623715,0.613233897,0.05442702,-0.165174074,0.097465694,7.723716856,1.644117721,1.615343288,0.951813891,1.483902142,1.283688923,3.62181849,6.783984446,28.35613502,28.46988231,655,0.004912336,0.021481272,0.045731707,0.205792683,0.182926829,0.118873974,0.145725176,0.431006734,164,8
naama,raise_arms_horizontally,6_1_1.xlsx,left,0,5,0.186821441,0.007690621,1.074575513,0.346959857,0.194505252,0.016636604,14.6,4.335896678,30.8,9.418067742,-0.94509315,0.504729665,1.207286612,0.580283266,0.511511688,0.23566264,16.60842255,9.951884254,1.718633557,0.401105314,0.759850193,0.153516908,2.512466128,1.586104274,12.47863648,2.350255987,271,0.008232198,0.023484295,0.551470588,0.496323529,0.055147059,0.164642748,0.165356654,0.179363312,544,1
