exercise,Participant,hand,rep_count,start_value_mean,start_value_std,peak_value_mean,peak_value_std,end_value_mean,end_value_std,num_frames_up_mean,num_frames_up_std,num_frames_down_mean,num_frames_down_std,vel_mean_down_mean,vel_mean_down_std,vel_sd_down_mean,vel_sd_down_std,acc_mean_down_mean,acc_mean_down_std,acc_sd_down_mean,acc_sd_down_std,vel_mean_up_mean,vel_mean_up_std,vel_sd_up_mean,vel_sd_up_std,acc_mean_up_mean,acc_mean_up_std,acc_sd_up_mean,acc_sd_up_std,freq num,magnitude mean,magnitude sd,DF3_freq,DF2_freq,DF1_freq,DF3_mag,DF2_mag,DF1_mag,CL,cycles num,label
raise_arms_horizontally,0812202001a.xlsx,left,-0.239045722,0.15282131,-0.634644263,-0.147740314,-0.687865728,0.398960116,-0.642048472,0.845197756,-0.796643259,1.90139449,1.399752128,0.706477032,-0.412165971,-0.482795941,-0.535104067,0.329805196,-0.367791785,-0.509187285,-0.479064137,-0.624369645,-0.51714073,-0.627165935,-0.591179884,-0.294176295,-0.442740788,-0.574756324,-0.608011664,0.376888494,-0.504546383,-0.575191906,-0.601144327,-0.440790704,-0.579396725,0.270925304,1.574204725,-0.567783655,0.223910235,-0.279034352,0
raise_arms_horizontally,0812202001a.xlsx,right,-0.239045722,-0.811446457,-0.760835609,0.152935118,-0.676673868,-0.940957326,-0.60802822,0.514398858,-0.902501441,0.283399083,1.239368488,0.28034142,-0.328698011,-0.146547328,-0.507136616,0.297177509,-0.349848858,-0.391704257,-0.445923539,-0.404514937,-0.466093351,-0.44685951,-0.598903851,-0.295587812,-0.444999203,-0.459545293,-0.594430502,0.376888494,-0.366011915,0.025866019,-0.601144327,-0.440790704,-0.579396725,0.601388661,2.067895668,-0.208966802,0.223910235,-0.279034352,0
raise_arms_horizontally,0812202001b.xlsx,left,-0.239045722,0.029774163,-0.707163635,-0.104696725,-0.398324543,0.328392799,-0.579560244,0.018200512,1.845077551,1.971742117,1.255392144,0.710653352,-0.418431003,-0.119794078,-0.010812443,0.35901453,-0.334385457,-0.001890351,0.438423127,-0.161562984,-0.08666292,-0.24799499,-0.60051749,-0.082940759,-0.247162855,-0.216505047,-0.4378939,0.233549111,-0.147845414,-0.135287529,-0.211573324,-0.554837159,-0.266512224,-0.036594828,0.790001677,-0.13397823,-0.05953543,0.212597601,0
raise_arms_horizontally,0812202001b.xlsx,right,-0.239045722,-0.871870447,-0.7241071,0.410667188,-0.626249825,-0.995889512,-0.5860994,0.063309453,-1.193999857,0.393945353,-0.549722524,0.3197437,-0.399679458,-0.055031401,-0.523651283,0.313814781,-0.350725918,-0.39066205,-0.471295586,-0.174985596,-0.477664645,-0.271708005,-0.486126596,-0.281469211,-0.425322597,-0.402321898,-0.514454268,0.233549111,-0.042168617,0.521309888,-0.211573324,-0.554837159,-0.266512224,0.392646952,1.129090456,0.278697275,-0.05953543,0.212597601,0
raise_arms_horizontally,0812202002a.xlsx,left,-0.239045722,0.313220036,-0.544661793,0.661299157,0.037383042,0.593671951,-0.268970662,1.16096034,0.570761584,0.062306543,-0.445456158,0.247294247,-0.342980445,-0.791499133,-0.404716708,0.284552548,-0.34597429,-0.453694986,-0.480922286,-0.511139991,-0.326785544,-0.594925676,-0.670214235,-0.266952898,-0.407279687,-0.515903099,-0.560042363,-0.005349861,-0.798147765,0.169087389,-0.638977135,-0.643797226,-0.366372946,-1.463673044,-1.496145249,1.267420119,0.02026966,-0.279034352,0
raise_arms_horizontally,0812202002a.xlsx,right,-0.239045722,-0.276412498,-0.705986168,-0.137449112,2.023410189,-0.283158399,-0.528365604,1.16096034,3.465396633,1.197918226,0.708773949,0.556099812,-0.279866649,-0.46120608,-0.410809809,0.318216123,-0.362782731,-0.296980223,-0.465975228,-0.528380762,-0.262479646,-0.277181286,-0.646278572,-0.222720214,-0.385573842,-0.368810958,-0.584239686,-0.005349861,-0.623802324,0.176571062,-0.638977135,-0.643797226,-0.366372946,-1.452934699,-1.372230901,1.280718554,0.02026966,-0.279034352,0
raise_arms_horizontally,1212202001a.xlsx,left,-0.239045722,1.775220782,0.702822755,0.554216461,-0.11616328,2.802713167,1.406555101,-0.688506223,0.555850471,-0.972808531,1.9718271,-1.282794035,1.637015916,1.649963348,1.361332229,-0.877873619,1.426066544,1.863992021,1.869528363,0.194612334,-0.108530355,0.22633511,0.156036596,-0.214773819,-0.288481959,0.453868948,0.041146664,-1.193019037,1.303476158,1.515060083,-0.171501705,0.190327881,0.942611231,1.689988054,0.592022656,-0.903918268,-0.620005659,-0.279034352,1
raise_arms_horizontally,1212202001a.xlsx,right,-0.239045722,1.401230916,1.411436378,0.608459806,0.253510526,1.340026386,2.184027526,-0.703542536,-0.192109392,-0.580871756,0.497452738,-0.115131534,0.172301202,1.085786655,0.984290981,0.207956557,-0.166217384,1.016501791,0.914900551,0.173756238,-0.20221971,0.571651881,0.25637532,-0.390039355,-0.308797375,0.649324182,0.184819354,-1.193019037,1.520748752,1.878477201,-0.171501705,0.190327881,0.942611231,1.970787904,0.996324285,-0.911896053,-0.620005659,-0.279034352,1
raise_arms_horizontally,1212202001b.xlsx,left,0.162985719,-0.109729932,1.170846618,0.628513482,-0.595043443,-0.492431466,0.590813069,-0.502431843,0.263175904,0.05853792,0.360545433,0.064546181,0.083662855,0.23568243,0.473248407,0.390710436,-0.062667612,-0.111748103,0.143402701,0.256952705,-0.043397541,1.066493758,1.127233747,-0.516931328,-0.141958356,0.824220822,0.878252952,-0.633312874,0.833572726,0.916363317,-0.287980955,-0.066905152,0.483567918,1.663070391,0.67868398,-1.141784558,-0.467275229,0.212597601,1
raise_arms_horizontally,1212202001b.xlsx,right,0.162985719,-0.164158128,0.590377229,0.576685696,-0.432021107,-0.47320625,-0.56155709,-0.331393777,-0.077735138,-0.003016253,0.276608875,0.066624283,0.053613813,0.030508692,0.039600832,0.33638122,-0.242783409,-0.218052661,-0.036631291,0.080367491,-0.244931139,1.268156453,0.968345944,-0.52670653,-0.313883081,1.023779555,0.769485204,-0.633312874,0.84614752,0.630740672,-0.12187741,-0.313889858,0.483567918,1.485344471,0.39751486,-1.164133323,-0.467275229,0.212597601,1
raise_arms_horizontally,1312202001a.xlsx,left,-0.239045722,0.21193763,-0.804980741,0.062950388,-0.764186629,0.301868417,-0.609165606,0.559507799,0.096618215,0.293448744,-0.626228539,0.408675626,-0.404070203,-0.167396012,-0.530078835,0.321549103,-0.366350689,-0.44469117,-0.467568621,-0.474067396,-0.414054913,-0.30763806,-0.683911694,-0.309086183,-0.440863226,-0.52909257,-0.578331417,0.411016919,-0.497781657,-0.244661412,-0.608323506,-0.622620739,-0.370713459,-0.343186427,0.177539051,0.467651429,0.02393886,0.212597601,0
raise_arms_horizontally,1312202001a.xlsx,right,-0.239045722,-0.441425849,-0.815607926,0.008540529,-0.661819162,-0.29729549,-0.613918535,-0.177271563,-0.716052776,1.097421617,-0.333361621,0.565890698,-0.446557637,-0.219949395,-0.554381739,0.324124396,-0.363005116,-0.448288643,-0.483492758,-0.170936677,-0.401597455,-0.149331118,-0.674468692,-0.262423484,-0.439243579,-0.408959357,-0.631231447,0.411016919,-0.387170809,-0.073046258,-0.608323506,-0.622620739,-0.370713459,-0.289496382,0.256130441,0.604412392,0.02393886,0.212597601,0
raise_arms_horizontally,1502202101a.xlsx,left,-0.239045722,-0.289832283,-0.593814641,-0.135959167,0.127752063,-0.316647085,-0.44772795,0.604616739,2.456049612,1.248166531,-0.103543871,0.602885533,-0.411212383,-0.552849088,-0.476768785,0.320357072,-0.35802982,-0.467213387,-0.443734339,0.134496764,1.345744422,0.017606307,1.140819433,0.764317944,1.175167635,0.248731178,1.50029616,-0.005349861,-0.275904956,-0.19406604,-0.250357501,-0.642409273,-0.364194846,0.280828755,-0.372475952,0.400262492,0.018435061,-0.279034352,0
raise_arms_horizontally,1502202101a.xlsx,right,-0.239045722,-0.004159417,-0.541804599,0.561310061,-0.384412363,0.608614872,-0.426540761,1.010597204,0.532078127,0.373846031,-0.922934703,0.372582027,-0.406376924,-0.440929856,-0.389211261,0.31267147,-0.359978119,-0.402535795,-0.421913268,-0.485503218,-0.357680638,-0.704778525,-0.508919455,-0.235892256,-0.434769918,-0.389331609,-0.351040658,-0.005349861,-0.35057515,0.111958156,-0.250357501,-0.642409273,-0.364194846,0.39817264,-0.144497917,0.573514844,0.018435061,-0.279034352,0
